article_id,store_id,promo_year,event_code,promo_type,start_date,end_date,is_in_flyer,flyer_code
7028063,228,2017,L3,15,2017-12-01,2017-12-31,f,
283865,228,2017,D2,11,2017-11-30,2017-12-08,f,
9025671,228,2017,D2,11,2017-11-30,2017-12-08,t,E
123482,228,2017,W2,11,2017-11-02,2018-02-02,f,
123741,228,2017,W2,11,2017-11-02,2018-02-02,f,
7816813,228,2017,L3,11,2017-12-01,2018-01-06,f,
3316218,228,2017,L3,20,2017-12-01,2017-12-31,f,
123819,228,2017,W2,11,2017-11-02,2018-02-02,f,
1377921,228,2017,D2,11,2017-11-30,2017-12-08,t,E
8820932,228,2017,D2,11,2017-11-30,2017-12-08,f,
8466338,228,2017,D2,15,2017-11-30,2017-12-08,t,
123901,228,2017,W2,11,2017-11-02,2018-02-02,f,
7341674,228,2017,D2,15,2017-11-30,2017-12-08,f,
7559024,228,2017,L3,11,2017-12-01,2018-01-06,f,
5614657,228,2017,D2,11,2017-11-30,2017-12-08,t,
5396317,228,2017,D2,11,2017-11-30,2017-12-08,f,
6680224,228,2017,D2,15,2017-11-30,2017-12-08,f,
1843730,228,2017,L3,20,2017-12-01,2017-12-31,f,
5688771,228,2017,L3,15,2017-12-01,2017-12-31,f,
6840413,228,2017,L3,10,2017-12-01,2017-12-31,f,
7447987,228,2017,L3,20,2017-12-01,2017-12-31,f,
3968813,228,2017,L3,20,2017-12-01,2017-12-31,f,
8754817,228,2017,D2,15,2017-11-30,2017-12-08,f,
8073406,228,2017,D3,11,2017-12-09,2017-12-14,f,
8073406,228,2017,D4,10,2017-12-15,2017-12-31,f,
9868339,228,2017,D2,15,2017-11-30,2017-12-08,f,
6975528,228,2017,D2,11,2017-11-30,2017-12-08,f,
2675040,228,2017,L3,11,2017-12-01,2018-01-06,f,
596620,228,2017,D2,11,2017-11-30,2017-12-08,t,
8597377,228,2017,D2,11,2017-11-30,2017-12-08,f,
9387762,228,2017,D2,10,2017-11-30,2017-12-08,f,
7543870,228,2017,D2,15,2017-11-30,2017-12-08,t,
5536133,228,2017,D2,11,2017-11-30,2017-12-08,t,
7462966,228,2017,D2,20,2017-11-30,2017-12-08,f,
62040,228,2017,D3,11,2017-12-09,2017-12-14,f,
8363347,228,2017,D3,11,2017-12-09,2017-12-14,f,
5126617,228,2017,D2,15,2017-11-30,2017-12-08,f,
1977800,228,2017,D2,10,2017-11-30,2017-12-08,f,
7748732,228,2017,W3,11,2017-12-04,2017-12-10,f,
8820628,228,2017,D2,15,2017-11-30,2017-12-08,f,
667429,228,2017,D2,15,2017-11-30,2017-12-08,f,
7439258,228,2017,L3,10,2017-12-01,2017-12-31,t,
8311195,228,2017,D2,11,2017-11-30,2017-12-08,f,
8401131,228,2017,L3,20,2017-12-01,2017-12-31,f,
8654407,228,2017,W3,11,2017-12-01,2018-12-31,f,
3791749,228,2017,D4,04,2017-12-15,2017-12-31,t,
8595076,228,2017,D2,11,2017-11-30,2017-12-08,t,
6994734,228,2017,D3,04,2017-12-09,2017-12-14,f,
444754,228,2017,D2,15,2017-11-30,2017-12-08,f,
4273633,228,2017,L3,20,2017-12-01,2017-12-31,f,
9341771,228,2017,L3,20,2017-12-01,2017-12-31,f,
1088537,228,2017,L3,11,2017-12-01,2018-01-06,f,
8241331,228,2017,D2,11,2017-11-30,2017-12-08,f,
7542545,228,2017,D2,15,2017-11-30,2017-12-08,f,
5396058,228,2017,D2,11,2017-11-30,2017-12-08,f,
512088,228,2017,L3,10,2017-12-01,2017-12-31,f,
283841,228,2017,D2,11,2017-11-30,2017-12-08,f,
7524756,228,2017,D2,20,2017-11-30,2017-12-08,t,
4985154,228,2017,D2,20,2017-11-30,2017-12-08,f,
8962960,228,2017,D2,11,2017-11-30,2017-12-08,f,
862091,228,2017,L3,15,2017-12-01,2017-12-31,f,
9335435,228,2017,D2,15,2017-11-30,2017-12-08,f,
6872889,228,2017,D2,11,2017-11-30,2017-12-08,f,
8814481,228,2017,D2,15,2017-11-30,2017-12-08,f,
9707010,228,2017,D2,11,2017-11-30,2017-12-08,t,E
4674935,228,2017,L3,04,2017-12-01,2017-12-31,f,
8873921,228,2017,L3,15,2017-12-01,2017-12-31,f,
6695709,228,2017,D2,15,2017-11-30,2017-12-08,f,
9025398,228,2017,D2,11,2017-11-30,2017-12-08,t,E
3063587,228,2017,L3,20,2017-12-01,2017-12-31,f,
8400912,228,2017,D2,11,2017-11-30,2017-12-08,f,
7660010,228,2017,D2,11,2017-11-30,2017-12-08,f,
318451,228,2017,L3,11,2017-12-01,2018-01-06,f,
4013222,228,2017,D2,11,2017-11-30,2017-12-08,f,
8844631,228,2017,D3,11,2017-12-09,2017-12-14,f,
8844631,228,2017,D4,11,2017-12-15,2017-12-31,f,
8844631,228,2017,D2,11,2017-11-30,2017-12-08,f,
7439289,228,2017,L3,10,2017-12-01,2017-12-31,t,
8307204,228,2017,D2,11,2017-11-30,2017-12-08,t,
8587088,228,2017,L3,11,2017-12-01,2018-01-06,f,
7597972,228,2017,D2,11,2017-11-30,2017-12-08,t,
7597972,228,2017,D4,11,2017-12-15,2017-12-31,f,
5378894,228,2017,D2,04,2017-11-30,2017-12-08,t,E
7864012,228,2017,D2,04,2017-11-30,2017-12-08,t,
6840598,228,2017,L3,10,2017-12-01,2017-12-31,f,
7055885,228,2017,L3,11,2017-12-01,2018-01-06,f,
1482687,228,2017,D2,11,2017-11-30,2017-12-08,t,
6961071,228,2017,D3,11,2017-12-09,2017-12-14,t,
1482687,228,2017,D3,11,2017-12-09,2017-12-14,t,
7274828,228,2017,D3,11,2017-12-09,2017-12-14,f,
8573425,228,2017,D3,11,2017-12-09,2017-12-14,t,E
9176809,228,2017,D2,20,2017-11-30,2017-12-08,f,
8399117,228,2017,D2,11,2017-12-04,2017-12-08,t,
8307334,228,2017,D2,11,2017-11-30,2017-12-08,t,
8191421,228,2017,D2,20,2017-11-30,2017-12-08,f,
1412929,228,2017,D3,11,2017-12-09,2017-12-14,t,
6138435,228,2017,D2,11,2017-11-30,2018-01-07,f,
7009772,228,2017,D2,11,2017-11-30,2017-12-08,t,
322496,228,2017,D2,20,2017-11-30,2017-12-08,t,
8399117,228,2017,D4,11,2017-12-15,2017-12-31,t,
9018796,228,2017,L3,11,2017-12-01,2018-01-06,f,
7142714,228,2017,D2,20,2017-11-30,2017-12-08,f,
8668077,228,2017,D2,20,2017-11-30,2017-12-08,f,
1302367,228,2017,D4,04,2017-12-15,2018-01-04,f,
1302367,228,2017,W3,04,2017-12-01,2017-12-14,f,
8762867,228,2017,L3,20,2017-12-01,2017-12-31,f,
912291,228,2017,D2,11,2017-11-30,2017-12-08,t,
8542612,228,2017,D3,11,2017-12-09,2017-12-14,t,E
1381416,228,2017,D4,11,2017-12-15,2017-12-31,t,
4950381,228,2017,D4,11,2017-12-15,2017-12-31,t,
8936541,228,2017,D3,11,2017-12-09,2017-12-14,t,
8936541,228,2017,D2,11,2017-11-30,2017-12-08,t,
8936541,228,2017,D4,10,2017-12-15,2017-12-31,f,
7228302,228,2017,D2,11,2017-11-30,2017-12-08,t,
9781317,228,2017,D2,11,2017-11-30,2017-12-08,t,E
9341832,228,2017,L3,20,2017-12-01,2017-12-31,f,
5680348,228,2017,D2,15,2017-11-30,2017-12-08,f,
8857990,228,2017,D4,04,2017-12-15,2017-12-31,t,
1952999,228,2017,D4,11,2017-12-15,2017-12-31,t,
7559079,228,2017,L3,11,2017-12-01,2018-01-06,f,
7299692,228,2017,D2,11,2017-11-30,2018-01-07,f,
7521373,228,2017,L3,15,2017-12-01,2017-12-31,f,
8597711,228,2017,D2,11,2017-11-30,2017-12-08,f,
8444862,228,2017,L3,11,2017-12-01,2018-01-06,f,
9395880,228,2017,D3,10,2017-12-09,2017-12-14,f,
8727347,228,2017,D4,67,2017-12-15,2017-12-31,t,
8727347,228,2017,D2,11,2017-11-30,2017-12-08,f,
8935728,228,2017,L3,10,2017-12-01,2017-12-31,f,
5447965,228,2017,D2,04,2017-11-30,2017-12-08,t,
4586160,228,2017,D2,11,2017-11-30,2017-12-08,t,E
9170111,228,2017,L3,11,2017-12-01,2018-01-06,f,
7787465,228,2017,D2,15,2017-11-30,2017-12-08,f,
4586030,228,2017,D2,11,2017-11-30,2017-12-08,t,E
4734400,228,2017,D2,11,2017-11-30,2017-12-08,f,
1425875,228,2017,D4,11,2017-12-15,2017-12-31,t,
8099277,228,2017,D2,04,2017-11-30,2017-12-08,t,
7118351,228,2017,D2,11,2017-11-30,2017-12-08,f,
1282935,228,2017,D2,11,2017-12-01,2017-12-08,f,
9722839,228,2017,D2,20,2017-11-30,2017-12-08,f,
2671370,228,2017,D2,11,2017-11-30,2017-12-08,t,
1990847,228,2017,L3,15,2017-12-01,2017-12-31,f,
8412519,228,2017,D2,11,2017-11-30,2017-12-08,f,
142094,228,2017,I5,11,2017-05-31,2018-12-31,f,
1309304,228,2017,D2,30,2017-11-30,2017-12-08,t,
8335849,228,2017,D2,11,2017-11-30,2017-12-08,f,
148522,228,2017,W1,11,2017-10-16,2018-01-16,f,
8363309,228,2017,D3,11,2017-12-09,2017-12-14,f,
654153,228,2017,D3,11,2017-12-09,2017-12-14,t,
654153,228,2017,D2,11,2017-11-30,2017-12-08,t,
9340415,228,2017,D2,20,2017-11-30,2017-12-08,t,E
9033881,228,2017,D2,25,2017-11-30,2017-12-08,f,
1017209,228,2017,L3,20,2017-12-01,2017-12-31,f,
7408193,228,2017,D3,15,2017-12-09,2017-12-14,f,
8828822,228,2017,D2,11,2017-11-30,2017-12-08,f,
8828822,228,2017,D4,67,2017-12-15,2017-12-31,t,
2813091,228,2017,L3,20,2017-12-01,2017-12-31,f,
9842537,228,2017,D2,11,2017-11-30,2017-12-08,t,
6860336,228,2017,L3,20,2017-12-01,2017-12-31,f,
5990393,228,2017,L3,15,2017-12-01,2017-12-31,f,
1904929,228,2017,D2,11,2017-11-30,2017-12-08,f,
8248811,228,2017,D2,20,2017-11-30,2017-12-08,t,
1637568,228,2017,D4,11,2017-12-15,2017-12-31,t,E
8293309,228,2017,D2,11,2017-11-30,2017-12-08,f,
292041,228,2017,L3,10,2017-12-01,2017-12-31,f,
1843754,228,2017,L3,20,2017-12-01,2017-12-31,f,
6856438,228,2017,D2,11,2017-11-30,2017-12-08,f,
2656865,228,2017,L3,20,2017-12-01,2017-12-31,f,
7449219,228,2017,D2,11,2017-11-30,2017-12-08,f,
8488590,228,2017,D4,11,2017-12-15,2017-12-31,t,
9341689,228,2017,L3,20,2017-12-01,2017-12-31,f,
2163738,228,2017,D2,04,2017-11-30,2017-12-08,t,
1478611,228,2017,D2,15,2017-11-30,2017-12-08,f,
162573,228,2017,T7,67,2017-11-06,2017-11-26,t,
6579832,228,2017,D4,11,2017-12-15,2017-12-31,t,
1482656,228,2017,D2,11,2017-11-30,2017-12-08,t,
571214,228,2017,D2,11,2017-11-30,2017-12-08,t,E
1482601,228,2017,D2,11,2017-11-30,2017-12-08,t,
7240694,228,2017,D2,20,2017-11-30,2017-12-08,t,
162634,228,2017,T7,67,2017-11-06,2017-11-26,t,
1372742,228,2017,D2,11,2017-11-30,2017-12-24,t,
2853752,228,2017,D2,11,2017-11-30,2017-12-08,f,
9340392,228,2017,D2,20,2017-11-30,2017-12-08,t,E
5614985,228,2017,D4,11,2017-12-15,2017-12-31,t,
9600748,228,2017,D2,15,2017-12-01,2017-12-08,f,
7164020,228,2017,D2,04,2017-11-30,2017-12-08,t,
362980,228,2017,D2,11,2017-11-30,2017-12-08,t,
1016608,228,2017,L3,20,2017-12-01,2017-12-31,f,
4586825,228,2017,D2,11,2017-11-30,2017-12-08,t,E
3519381,228,2017,D2,11,2017-11-30,2017-12-08,t,
